notification_date,age_group,confirmed_by_pcr,confirmed_cases_count
2020-03-18,AgeGroup_35-39,N/A,10
2020-03-18,AgeGroup_40-44,N/A,5
2020-03-18,AgeGroup_45-49,N/A,1
2020-03-18,AgeGroup_50-54,N/A,4
2020-03-18,AgeGroup_55-59,N/A,4
2020-03-18,AgeGroup_60-64,N/A,4
2020-03-18,AgeGroup_65-69,N/A,6
2020-03-18,AgeGroup_70+,N/A,2
2020-03-19,AgeGroup_0-19,N/A,3
2020-03-19,AgeGroup_20-24,N/A,5
2020-03-19,AgeGroup_25-29,N/A,7
2020-03-19,AgeGroup_30-34,N/A,6
2020-03-19,AgeGroup_35-39,N/A,4
2020-03-19,AgeGroup_40-44,N/A,5
2020-03-19,AgeGroup_45-49,N/A,6
2020-03-19,AgeGroup_50-54,N/A,6
2020-03-19,AgeGroup_55-59,N/A,5
2020-03-19,AgeGroup_60-64,N/A,3
2020-03-19,AgeGroup_65-69,N/A,2
2020-03-19,AgeGroup_70+,N/A,4
2020-03-20,AgeGroup_0-19,N/A,5
2020-03-20,AgeGroup_20-24,N/A,6
2020-03-20,AgeGroup_25-29,N/A,19
2020-03-20,AgeGroup_30-34,N/A,8
2020-03-20,AgeGroup_35-39,N/A,6
2020-03-20,AgeGroup_40-44,N/A,9
2020-03-20,AgeGroup_45-49,N/A,6
2020-03-20,AgeGroup_50-54,N/A,7
2020-03-20,AgeGroup_55-59,N/A,4
2020-03-20,AgeGroup_60-64,N/A,3
2020-03-20,AgeGroup_65-69,N/A,5
2020-03-20,AgeGroup_70+,N/A,10
2020-03-21,AgeGroup_0-19,N/A,2
2020-03-21,AgeGroup_20-24,N/A,10
2020-03-21,AgeGroup_25-29,N/A,16
2020-03-21,AgeGroup_30-34,N/A,13
2020-03-21,AgeGroup_35-39,N/A,6
2020-03-21,AgeGroup_40-44,N/A,10
2020-03-21,AgeGroup_45-49,N/A,10
2020-03-21,AgeGroup_50-54,N/A,9
2020-03-21,AgeGroup_55-59,N/A,10
2020-03-21,AgeGroup_60-64,N/A,15
2020-03-21,AgeGroup_65-69,N/A,6
2020-03-21,AgeGroup_70+,N/A,15
2020-03-22,AgeGroup_0-19,N/A,2
2020-03-22,AgeGroup_20-24,N/A,8
2020-03-22,AgeGroup_25-29,N/A,15
2020-03-22,AgeGroup_30-34,N/A,6
2020-03-22,AgeGroup_35-39,N/A,5
2020-03-22,AgeGroup_40-44,N/A,5
2020-03-22,AgeGroup_45-49,N/A,9
2020-03-22,AgeGroup_50-54,N/A,13
2020-03-22,AgeGroup_55-59,N/A,12
2020-03-22,AgeGroup_60-64,N/A,18
2020-03-22,AgeGroup_65-69,N/A,7
2020-03-22,AgeGroup_70+,N/A,21
2020-03-23,AgeGroup_0-19,N/A,5
2020-03-23,AgeGroup_20-24,N/A,12
2020-03-23,AgeGroup_25-29,N/A,17
2020-03-23,AgeGroup_30-34,N/A,13
2020-03-23,AgeGroup_35-39,N/A,9
2020-03-23,AgeGroup_40-44,N/A,4
2020-03-23,AgeGroup_45-49,N/A,6
2020-03-23,AgeGroup_50-54,N/A,12
2020-03-23,AgeGroup_55-59,N/A,13
2020-03-23,AgeGroup_60-64,N/A,13
2020-03-23,AgeGroup_65-69,N/A,22
2020-03-23,AgeGroup_70+,N/A,50
2020-03-24,AgeGroup_0-19,N/A,4
2020-03-24,AgeGroup_20-24,N/A,16
2020-03-24,AgeGroup_25-29,N/A,20
2020-03-24,AgeGroup_30-34,N/A,18
2020-03-24,AgeGroup_35-39,N/A,12
2020-03-24,AgeGroup_40-44,N/A,8
2020-03-24,AgeGroup_45-49,N/A,18
2020-03-24,AgeGroup_50-54,N/A,16
2020-03-24,AgeGroup_55-59,N/A,17
2020-03-24,AgeGroup_60-64,N/A,17
2020-03-24,AgeGroup_65-69,N/A,14
2020-03-24,AgeGroup_70+,N/A,32
2020-03-25,AgeGroup_0-19,N/A,2
2020-03-25,AgeGroup_20-24,N/A,21
2020-03-25,AgeGroup_25-29,N/A,33
2020-03-25,AgeGroup_30-34,N/A,10
2020-03-25,AgeGroup_35-39,N/A,14
2020-03-25,AgeGroup_40-44,N/A,11
2020-03-25,AgeGroup_45-49,N/A,18
2020-03-25,AgeGroup_50-54,N/A,12
2020-03-25,AgeGroup_55-59,N/A,13
2020-03-25,AgeGroup_60-64,N/A,14
2020-03-25,AgeGroup_65-69,N/A,19
2020-03-25,AgeGroup_70+,N/A,39
2020-03-26,AgeGroup_0-19,N/A,2
2020-03-26,AgeGroup_20-24,N/A,29
2020-03-26,AgeGroup_25-29,N/A,18
2020-03-26,AgeGroup_30-34,N/A,22
2020-03-26,AgeGroup_35-39,N/A,9
2020-03-26,AgeGroup_40-44,N/A,6
2020-03-26,AgeGroup_45-49,N/A,12
2020-03-26,AgeGroup_50-54,N/A,16
2020-03-26,AgeGroup_55-59,N/A,20
2020-03-26,AgeGroup_60-64,N/A,18
2020-03-26,AgeGroup_65-69,N/A,11
2020-03-26,AgeGroup_70+,N/A,22
2020-03-27,AgeGroup_0-19,N/A,16
2020-03-27,AgeGroup_20-24,N/A,23
2020-03-27,AgeGroup_25-29,N/A,23
2020-03-27,AgeGroup_30-34,N/A,21
2020-03-27,AgeGroup_35-39,N/A,12
2020-03-27,AgeGroup_40-44,N/A,4
2020-03-27,AgeGroup_45-49,N/A,14
2020-03-27,AgeGroup_50-54,N/A,13
2020-03-27,AgeGroup_55-59,N/A,11
2020-03-27,AgeGroup_60-64,N/A,20
2020-03-27,AgeGroup_65-69,N/A,16
2020-03-27,AgeGroup_70+,N/A,40
2020-03-28,AgeGroup_0-19,N/A,8
2020-03-28,AgeGroup_20-24,N/A,20
2020-03-28,AgeGroup_25-29,N/A,19
2020-03-28,AgeGroup_30-34,N/A,9
2020-03-28,AgeGroup_35-39,N/A,6
2020-03-28,AgeGroup_40-44,N/A,4
2020-03-28,AgeGroup_45-49,N/A,9
2020-03-28,AgeGroup_50-54,N/A,16
2020-03-28,AgeGroup_55-59,N/A,13
2020-03-28,AgeGroup_60-64,N/A,12
2020-03-28,AgeGroup_65-69,N/A,10
2020-03-28,AgeGroup_70+,N/A,17
2020-03-29,AgeGroup_0-19,N/A,5
2020-03-29,AgeGroup_20-24,N/A,15
2020-03-29,AgeGroup_25-29,N/A,15
2020-03-29,AgeGroup_30-34,N/A,11
2020-03-29,AgeGroup_35-39,N/A,10
2020-03-29,AgeGroup_40-44,N/A,9
2020-03-29,AgeGroup_45-49,N/A,5
2020-03-29,AgeGroup_50-54,N/A,14
2020-03-29,AgeGroup_55-59,N/A,7
2020-03-29,AgeGroup_60-64,N/A,11
2020-03-29,AgeGroup_65-69,N/A,6
2020-03-29,AgeGroup_70+,N/A,16
2020-03-30,AgeGroup_0-19,N/A,3
2020-03-30,AgeGroup_20-24,N/A,17
2020-03-30,AgeGroup_25-29,N/A,15
2020-03-30,AgeGroup_30-34,N/A,5
2020-03-30,AgeGroup_35-39,N/A,6
2020-03-30,AgeGroup_40-44,N/A,6
2020-03-30,AgeGroup_45-49,N/A,7
2020-03-30,AgeGroup_50-54,N/A,8
2020-03-30,AgeGroup_55-59,N/A,4
2020-03-30,AgeGroup_60-64,N/A,4
2020-03-30,AgeGroup_65-69,N/A,5
2020-03-30,AgeGroup_70+,N/A,10
2020-03-31,AgeGroup_0-19,N/A,7
2020-03-31,AgeGroup_20-24,N/A,15
2020-03-31,AgeGroup_25-29,N/A,19
2020-03-31,AgeGroup_30-34,N/A,12
2020-03-31,AgeGroup_35-39,N/A,6
2020-03-31,AgeGroup_40-44,N/A,6
2020-03-31,AgeGroup_45-49,N/A,11
2020-03-31,AgeGroup_50-54,N/A,9
2020-03-31,AgeGroup_55-59,N/A,11
2020-03-31,AgeGroup_60-64,N/A,11
2020-03-31,AgeGroup_65-69,N/A,4
2020-03-31,AgeGroup_70+,N/A,20
2020-04-01,AgeGroup_0-19,N/A,10
2020-04-01,AgeGroup_20-24,N/A,9
2020-04-01,AgeGroup_25-29,N/A,18
2020-04-01,AgeGroup_30-34,N/A,16
2020-04-01,AgeGroup_35-39,N/A,9
2020-04-01,AgeGroup_40-44,N/A,6
2020-04-01,AgeGroup_45-49,N/A,5
2020-04-01,AgeGroup_50-54,N/A,9
2020-04-01,AgeGroup_55-59,N/A,8
2020-04-01,AgeGroup_60-64,N/A,13
2020-04-01,AgeGroup_65-69,N/A,2
2020-04-01,AgeGroup_70+,N/A,19
2020-04-02,AgeGroup_0-19,N/A,7
2020-04-02,AgeGroup_20-24,N/A,11
2020-04-02,AgeGroup_25-29,N/A,14
2020-04-02,AgeGroup_30-34,N/A,13
2020-04-02,AgeGroup_35-39,N/A,3
2020-04-02,AgeGroup_40-44,N/A,6
2020-04-02,AgeGroup_45-49,N/A,5
2020-04-02,AgeGroup_50-54,N/A,5
2020-04-02,AgeGroup_55-59,N/A,4
2020-04-02,AgeGroup_60-64,N/A,6
2020-04-02,AgeGroup_65-69,N/A,12
2020-04-02,AgeGroup_70+,N/A,6
2020-04-03,AgeGroup_0-19,N/A,11
2020-04-03,AgeGroup_20-24,N/A,9
2020-04-03,AgeGroup_25-29,N/A,13
2020-04-03,AgeGroup_30-34,N/A,12
2020-04-03,AgeGroup_35-39,N/A,7
2020-04-03,AgeGroup_40-44,N/A,4
2020-04-03,AgeGroup_45-49,N/A,5
2020-04-03,AgeGroup_50-54,N/A,3
2020-04-03,AgeGroup_55-59,N/A,6
2020-04-03,AgeGroup_60-64,N/A,11
2020-04-03,AgeGroup_65-69,N/A,13
2020-04-03,AgeGroup_70+,N/A,12
2020-04-04,AgeGroup_0-19,N/A,1
2020-04-04,AgeGroup_20-24,N/A,4
2020-04-04,AgeGroup_25-29,N/A,5
2020-04-04,AgeGroup_30-34,N/A,10
2020-04-04,AgeGroup_35-39,N/A,11
2020-04-04,AgeGroup_40-44,N/A,5
2020-04-04,AgeGroup_45-49,N/A,7
2020-04-04,AgeGroup_50-54,N/A,8
2020-04-04,AgeGroup_55-59,N/A,6
2020-04-04,AgeGroup_60-64,N/A,4
2020-04-04,AgeGroup_65-69,N/A,2
2020-04-04,AgeGroup_70+,N/A,10
2020-04-05,AgeGroup_0-19,N/A,2
2020-04-05,AgeGroup_20-24,N/A,2
2020-04-05,AgeGroup_25-29,N/A,6
2020-04-05,AgeGroup_30-34,N/A,6
2020-04-05,AgeGroup_35-39,N/A,6
2020-04-05,AgeGroup_40-44,N/A,6
2020-04-05,AgeGroup_45-49,N/A,4
2020-04-05,AgeGroup_50-54,N/A,2
2020-04-05,AgeGroup_55-59,N/A,4
2020-04-05,AgeGroup_60-64,N/A,5
2020-04-05,AgeGroup_65-69,N/A,4
2020-04-05,AgeGroup_70+,N/A,16
2020-04-06,AgeGroup_0-19,N/A,2
2020-04-06,AgeGroup_20-24,N/A,3
2020-04-06,AgeGroup_25-29,N/A,2
2020-04-06,AgeGroup_30-34,N/A,4
2020-04-06,AgeGroup_35-39,N/A,4
2020-04-06,AgeGroup_40-44,N/A,4
2020-04-06,AgeGroup_45-49,N/A,1
2020-04-06,AgeGroup_50-54,N/A,2
2020-04-06,AgeGroup_55-59,N/A,5
2020-04-06,AgeGroup_60-64,N/A,4
2020-04-06,AgeGroup_65-69,N/A,4
2020-04-06,AgeGroup_70+,N/A,5
2020-04-07,AgeGroup_0-19,N/A,3
2020-04-07,AgeGroup_20-24,N/A,8
2020-04-07,AgeGroup_25-29,N/A,2
2020-04-07,AgeGroup_30-34,N/A,6
2020-04-07,AgeGroup_35-39,N/A,4
2020-04-07,AgeGroup_45-49,N/A,2
2020-04-07,AgeGroup_55-59,N/A,4
2020-04-07,AgeGroup_60-64,N/A,11
2020-04-07,AgeGroup_65-69,N/A,2
2020-04-07,AgeGroup_70+,N/A,2
2020-04-08,AgeGroup_0-19,N/A,1
2020-04-08,AgeGroup_20-24,N/A,4
2020-04-08,AgeGroup_25-29,N/A,5
2020-04-08,AgeGroup_30-34,N/A,4
2020-04-08,AgeGroup_35-39,N/A,3
2020-04-08,AgeGroup_40-44,N/A,2
2020-04-08,AgeGroup_45-49,N/A,6
2020-04-08,AgeGroup_50-54,N/A,4
2020-04-08,AgeGroup_55-59,N/A,5
2020-04-08,AgeGroup_60-64,N/A,1
2020-04-08,AgeGroup_65-69,N/A,4
2020-04-08,AgeGroup_70+,N/A,5
2020-04-09,AgeGroup_20-24,N/A,4
2020-04-09,AgeGroup_25-29,N/A,5
2020-04-09,AgeGroup_30-34,N/A,3
2020-04-09,AgeGroup_35-39,N/A,5
2020-04-09,AgeGroup_40-44,N/A,4
2020-04-09,AgeGroup_45-49,N/A,1
2020-04-09,AgeGroup_55-59,N/A,3
2020-04-09,AgeGroup_60-64,N/A,5
2020-04-09,AgeGroup_65-69,N/A,4
2020-04-09,AgeGroup_70+,N/A,7
2020-04-10,AgeGroup_0-19,N/A,2
2020-04-10,AgeGroup_20-24,N/A,3
2020-04-10,AgeGroup_25-29,N/A,4
2020-04-10,AgeGroup_35-39,N/A,4
2020-04-10,AgeGroup_40-44,N/A,2
2020-04-10,AgeGroup_45-49,N/A,2
2020-04-10,AgeGroup_50-54,N/A,1
2020-04-10,AgeGroup_55-59,N/A,2
2020-04-10,AgeGroup_60-64,N/A,5
2020-04-10,AgeGroup_65-69,N/A,2
2020-04-10,AgeGroup_70+,N/A,3
2020-04-11,AgeGroup_20-24,N/A,4
2020-04-11,AgeGroup_25-29,N/A,2
2020-04-11,AgeGroup_30-34,N/A,3
2020-04-11,AgeGroup_35-39,N/A,1
2020-04-11,AgeGroup_45-49,N/A,1
2020-04-11,AgeGroup_55-59,N/A,1
2020-04-11,AgeGroup_60-64,N/A,2
2020-04-11,AgeGroup_65-69,N/A,3
2020-04-11,AgeGroup_70+,N/A,1
2020-04-12,AgeGroup_0-19,N/A,2
2020-04-12,AgeGroup_25-29,N/A,2
2020-04-12,AgeGroup_30-34,N/A,1
2020-04-12,AgeGroup_35-39,N/A,1
2020-04-12,AgeGroup_55-59,N/A,1
2020-04-12,AgeGroup_60-64,N/A,1
2020-04-12,AgeGroup_70+,N/A,1
2020-04-13,AgeGroup_20-24,N/A,1
2020-04-13,AgeGroup_25-29,N/A,1
2020-04-13,AgeGroup_30-34,N/A,1
2020-04-13,AgeGroup_35-39,N/A,1
2020-04-13,AgeGroup_55-59,N/A,1
2020-04-13,AgeGroup_65-69,N/A,1
2020-04-13,AgeGroup_70+,N/A,1
2020-04-14,AgeGroup_0-19,N/A,1
2020-04-14,AgeGroup_20-24,N/A,1
2020-04-14,AgeGroup_25-29,N/A,3
2020-04-14,AgeGroup_30-34,N/A,3
2020-04-14,AgeGroup_35-39,N/A,1
2020-04-14,AgeGroup_40-44,N/A,2
2020-04-14,AgeGroup_45-49,N/A,2
2020-04-14,AgeGroup_50-54,N/A,1
2020-04-14,AgeGroup_60-64,N/A,1
2020-04-14,AgeGroup_65-69,N/A,1
2020-04-14,AgeGroup_70+,N/A,5
2020-04-15,AgeGroup_0-19,N/A,1
2020-04-15,AgeGroup_30-34,N/A,2
2020-04-15,AgeGroup_35-39,N/A,2
2020-04-15,AgeGroup_40-44,N/A,1
2020-04-15,AgeGroup_45-49,N/A,3
2020-04-15,AgeGroup_55-59,N/A,1
2020-04-15,AgeGroup_60-64,N/A,1
2020-04-15,AgeGroup_65-69,N/A,1
2020-04-15,AgeGroup_70+,N/A,10
2020-04-16,AgeGroup_0-19,N/A,2
2020-04-16,AgeGroup_20-24,N/A,2
2020-04-16,AgeGroup_25-29,N/A,1
2020-04-16,AgeGroup_30-34,N/A,2
2020-04-16,AgeGroup_35-39,N/A,2
2020-04-16,AgeGroup_40-44,N/A,2
2020-04-16,AgeGroup_65-69,N/A,1
2020-04-16,AgeGroup_70+,N/A,10
2020-04-17,AgeGroup_20-24,N/A,1
2020-04-17,AgeGroup_25-29,N/A,2
2020-04-17,AgeGroup_45-49,N/A,3
2020-04-17,AgeGroup_50-54,N/A,2
2020-04-17,AgeGroup_55-59,N/A,2
2020-04-17,AgeGroup_65-69,N/A,1
2020-04-17,AgeGroup_70+,N/A,4
2020-04-18,AgeGroup_0-19,N/A,1
2020-04-18,AgeGroup_20-24,N/A,2
2020-04-18,AgeGroup_25-29,N/A,2
2020-04-18,AgeGroup_30-34,N/A,1
2020-04-18,AgeGroup_35-39,N/A,1
2020-04-18,AgeGroup_50-54,N/A,1
2020-04-18,AgeGroup_55-59,N/A,2
2020-04-18,AgeGroup_70+,N/A,7
2020-04-19,AgeGroup_30-34,N/A,1
2020-04-19,AgeGroup_40-44,N/A,1
2020-04-19,AgeGroup_55-59,N/A,1
2020-04-19,AgeGroup_60-64,N/A,1
2020-04-19,AgeGroup_70+,N/A,3
2020-04-20,AgeGroup_30-34,N/A,2
2020-04-21,AgeGroup_40-44,N/A,1
2020-04-21,AgeGroup_45-49,N/A,1
2020-04-21,AgeGroup_50-54,N/A,1
2020-04-21,AgeGroup_65-69,N/A,1
2020-04-21,AgeGroup_70+,N/A,2
2020-04-22,AgeGroup_30-34,N/A,1
2020-04-22,AgeGroup_40-44,N/A,1
2020-04-22,AgeGroup_60-64,N/A,1
2020-04-23,AgeGroup_0-19,N/A,1
2020-04-23,AgeGroup_20-24,N/A,1
2020-04-23,AgeGroup_45-49,N/A,3
2020-04-23,AgeGroup_65-69,N/A,1
2020-04-23,AgeGroup_70+,N/A,2
2020-04-24,AgeGroup_25-29,N/A,2
2020-04-24,AgeGroup_45-49,N/A,1
2020-04-24,AgeGroup_50-54,N/A,1
2020-04-24,AgeGroup_60-64,N/A,2
2020-04-24,AgeGroup_65-69,N/A,2
2020-04-24,AgeGroup_70+,N/A,6
2020-04-25,AgeGroup_20-24,N/A,1
2020-04-25,AgeGroup_55-59,N/A,1
2020-04-25,AgeGroup_60-64,N/A,1
2020-04-26,AgeGroup_65-69,N/A,1
2020-04-27,AgeGroup_0-19,N/A,2
2020-04-27,AgeGroup_30-34,N/A,1
2020-04-27,AgeGroup_45-49,N/A,1
2020-04-27,AgeGroup_50-54,N/A,1
2020-04-28,AgeGroup_0-19,N/A,3
2020-04-28,AgeGroup_20-24,N/A,2
2020-04-28,AgeGroup_25-29,N/A,1
2020-04-28,AgeGroup_40-44,N/A,1
2020-04-28,AgeGroup_50-54,N/A,1
2020-04-28,AgeGroup_55-59,N/A,1
2020-04-28,AgeGroup_60-64,N/A,1
2020-04-29,AgeGroup_20-24,N/A,1
2020-04-29,AgeGroup_25-29,N/A,1
2020-04-29,AgeGroup_70+,N/A,1
2020-04-30,AgeGroup_20-24,N/A,1
2020-04-30,AgeGroup_25-29,N/A,1
2020-04-30,AgeGroup_40-44,N/A,3
2020-04-30,AgeGroup_55-59,N/A,1
2020-04-30,AgeGroup_60-64,N/A,1
2020-04-30,AgeGroup_70+,N/A,8
2020-05-01,AgeGroup_25-29,N/A,1
2020-05-01,AgeGroup_70+,N/A,1
2020-05-02,AgeGroup_0-19,N/A,1
2020-05-02,AgeGroup_55-59,N/A,1
2020-05-03,AgeGroup_0-19,N/A,1
2020-05-04,AgeGroup_20-24,N/A,1
2020-05-04,AgeGroup_25-29,N/A,2
2020-05-04,AgeGroup_30-34,N/A,1
2020-05-05,AgeGroup_0-19,N/A,1
2020-05-05,AgeGroup_25-29,N/A,1
2020-05-05,AgeGroup_30-34,N/A,1
2020-05-05,AgeGroup_60-64,N/A,1
2020-05-05,AgeGroup_65-69,N/A,1
2020-05-06,AgeGroup_30-34,N/A,2
2020-05-06,AgeGroup_40-44,N/A,1
2020-05-07,AgeGroup_0-19,N/A,1
2020-05-07,AgeGroup_40-44,N/A,1
2020-05-08,AgeGroup_30-34,N/A,1
2020-05-08,AgeGroup_45-49,N/A,1
2020-05-08,AgeGroup_70+,N/A,2
2020-05-09,AgeGroup_60-64,N/A,1
2020-05-10,AgeGroup_40-44,N/A,1
2020-05-12,AgeGroup_40-44,N/A,1
2020-05-12,AgeGroup_50-54,N/A,1
2020-05-12,AgeGroup_55-59,N/A,2
2020-05-12,AgeGroup_60-64,N/A,1
2020-05-13,AgeGroup_0-19,N/A,2
2020-05-13,AgeGroup_25-29,N/A,1
2020-05-13,AgeGroup_35-39,N/A,1
2020-05-14,AgeGroup_30-34,N/A,1
2020-05-14,AgeGroup_35-39,N/A,1
2020-05-14,AgeGroup_70+,N/A,1
2020-05-15,AgeGroup_30-34,N/A,1
2020-05-15,AgeGroup_35-39,N/A,1
2020-05-17,AgeGroup_45-49,N/A,1
2020-05-18,AgeGroup_25-29,N/A,1
2020-05-18,AgeGroup_55-59,N/A,1
2020-05-19,AgeGroup_25-29,N/A,1
2020-05-19,AgeGroup_35-39,N/A,1
2020-05-19,AgeGroup_55-59,N/A,1
2020-05-19,AgeGroup_65-69,N/A,1
2020-05-20,AgeGroup_0-19,N/A,1
2020-05-21,AgeGroup_30-34,N/A,2
2020-05-21,AgeGroup_35-39,N/A,1
2020-05-23,AgeGroup_25-29,N/A,1
2020-05-24,AgeGroup_55-59,N/A,1
2020-05-25,AgeGroup_20-24,N/A,2
2020-05-27,AgeGroup_40-44,N/A,1
2020-05-28,AgeGroup_25-29,N/A,1
2020-05-28,AgeGroup_35-39,N/A,1
2020-05-29,AgeGroup_50-54,N/A,1
2020-05-30,AgeGroup_60-64,N/A,1
2020-05-30,AgeGroup_65-69,N/A,1
2020-05-31,AgeGroup_0-19,N/A,1
2020-05-31,AgeGroup_30-34,N/A,2
2020-05-31,AgeGroup_35-39,N/A,1
2020-05-31,AgeGroup_50-54,N/A,1
2020-06-01,AgeGroup_0-19,N/A,1
2020-06-01,AgeGroup_25-29,N/A,2
2020-06-01,AgeGroup_40-44,N/A,1
2020-06-02,AgeGroup_20-24,N/A,1
2020-06-03,AgeGroup_40-44,N/A,1
2020-06-03,AgeGroup_65-69,N/A,1
2020-06-04,AgeGroup_0-19,N/A,2
2020-06-04,AgeGroup_35-39,N/A,1
2020-06-06,AgeGroup_55-59,N/A,1
2020-06-07,AgeGroup_25-29,N/A,1
2020-06-07,AgeGroup_35-39,N/A,1
2020-06-07,AgeGroup_55-59,N/A,1
2020-06-08,AgeGroup_45-49,N/A,1
2020-06-09,AgeGroup_30-34,N/A,1
2020-06-09,AgeGroup_70+,N/A,2
2020-06-11,AgeGroup_0-19,N/A,1
2020-06-11,AgeGroup_20-24,N/A,1
2020-06-11,AgeGroup_30-34,N/A,1
2020-06-12,AgeGroup_20-24,N/A,1
2020-06-12,AgeGroup_25-29,N/A,1
2020-06-12,AgeGroup_30-34,N/A,1
2020-06-13,AgeGroup_0-19,N/A,2
2020-06-13,AgeGroup_25-29,N/A,2
2020-06-13,AgeGroup_30-34,N/A,1
2020-06-13,AgeGroup_35-39,N/A,2
2020-06-13,AgeGroup_40-44,N/A,1
2020-06-13,AgeGroup_50-54,N/A,1
2020-06-14,AgeGroup_20-24,N/A,1
2020-06-14,AgeGroup_25-29,N/A,4
2020-06-14,AgeGroup_30-34,N/A,1
2020-06-17,AgeGroup_30-34,N/A,1
2020-06-17,AgeGroup_50-54,N/A,1
2020-06-18,AgeGroup_0-19,N/A,4
2020-06-18,AgeGroup_25-29,N/A,1
2020-06-18,AgeGroup_30-34,N/A,1
2020-06-18,AgeGroup_35-39,N/A,1
2020-06-19,AgeGroup_25-29,N/A,1
2020-06-20,AgeGroup_0-19,N/A,4
2020-06-20,AgeGroup_35-39,N/A,1
2020-06-20,AgeGroup_40-44,N/A,1
2020-06-21,AgeGroup_50-54,N/A,1
2020-06-22,AgeGroup_30-34,N/A,1
2020-06-23,AgeGroup_30-34,N/A,2
2020-06-23,AgeGroup_40-44,N/A,2
2020-06-23,AgeGroup_45-49,N/A,2
2020-06-23,AgeGroup_50-54,N/A,1
2020-06-23,AgeGroup_55-59,N/A,3
